ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings
RELIANCE.NS,Q4FY26,2026-03-31,2026-04-01,0.3937,-0.23,0.0,0.0,38,screener.in (BSE transcript),0.1442
TCS.NS,Q4FY26,2026-03-31,2026-04-01,0.5589,0.2979,0.0,0.0,21,screener.in (BSE transcript),0.4545
INFY.NS,Q4FY26,2026-03-31,2026-04-01,0.0888,-0.1719,0.0,0.0,39,screener.in (BSE transcript),-0.0155
RELIANCE.NS,Q3FY26,2025-12-31,2026-01-01,0.4993,-0.034,0.0,0.0,43,screener.in (BSE transcript),0.286
TCS.NS,Q3FY26,2025-12-31,2026-01-01,0.6124,0.1943,0.0,0.0,17,screener.in (BSE transcript),0.4452
HDFCBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.2425,-0.0563,0.0,0.0,23,screener.in (BSE transcript),0.123
INFY.NS,Q3FY26,2025-12-31,2026-02-01,0.035,0.2,0.0,0.0,65,screener.in (BSE transcript),0.101
ICICIBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.3072,-0.0171,0.0,0.0,32,screener.in (BSE transcript),0.1775
HINDUNILVR.NS,Q3FY26,2025-12-31,2026-02-01,0.4474,0.1357,0.0,0.0,27,screener.in (BSE transcript),0.3227
SBIN.NS,Q3FY26,2025-12-31,2026-02-01,0.4144,0.1908,0.0,0.0,27,screener.in (BSE transcript),0.325
BHARTIARTL.NS,Q3FY26,2025-12-31,2026-02-01,0.4005,-0.3273,0.0,0.0,33,screener.in (BSE transcript),0.1094
KOTAKBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.5775,0.248,0.0,0.0,29,screener.in (BSE transcript),0.4457
LT.NS,Q3FY26,2025-12-31,2026-01-01,0.4218,-0.2041,0.0,0.0,23,screener.in (BSE transcript),0.1715
AXISBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.2788,-0.0748,0.0,0.0,26,screener.in (BSE transcript),0.1374
BAJFINANCE.NS,Q3FY26,2025-12-31,2026-02-01,0.1968,-0.1748,0.0,0.0,21,screener.in (BSE transcript),0.0482
ASIANPAINT.NS,Q3FY26,2025-12-31,2026-02-01,0.3141,0.0939,0.0,0.0,22,screener.in (BSE transcript),0.226
HCLTECH.NS,Q3FY26,2025-12-31,2026-01-01,0.5981,0.3086,0.0,0.0,17,screener.in (BSE transcript),0.4823
SUNPHARMA.NS,Q3FY26,2025-12-31,2026-02-01,0.2703,0.1799,0.0,0.0,19,screener.in (BSE transcript),0.2342
TITAN.NS,Q3FY26,2025-12-31,2026-02-01,0.0858,-0.181,0.0,0.0,21,screener.in (BSE transcript),-0.0209
WIPRO.NS,Q3FY26,2025-12-31,2026-01-01,0.3694,-0.1158,0.0,0.0,8,screener.in (BSE transcript),0.1753
ULTRACEMCO.NS,Q3FY26,2025-12-31,2026-01-01,0.3172,-0.0605,0.0,0.0,16,screener.in (BSE transcript),0.1661
NTPC.NS,Q3FY26,2025-12-31,2026-02-01,0.4842,-0.0048,0.0,0.0,16,screener.in (BSE transcript),0.2886
POWERGRID.NS,Q3FY26,2025-12-31,2026-02-01,0.2165,0.2865,0.0,0.0,23,screener.in (BSE transcript),0.2445
M&M.NS,Q3FY26,2025-12-31,2026-02-01,0.2684,-0.0392,0.0,0.0,30,screener.in (BSE transcript),0.1454
TATASTEEL.NS,Q3FY26,2025-12-31,2026-02-01,0.4711,-0.0984,0.0,0.0,27,screener.in (BSE transcript),0.2433
ADANIENT.NS,Q3FY26,2025-12-31,2026-02-01,0.2258,-0.3214,0.0,0.0,10,screener.in (BSE transcript),0.0069
ADANIPORTS.NS,Q3FY26,2025-12-31,2026-02-01,0.2505,-0.1085,0.0,0.0,31,screener.in (BSE transcript),0.1069
BAJAJFINSV.NS,Q3FY26,2025-12-31,2026-02-01,0.325,-0.3422,0.0,0.0,20,screener.in (BSE transcript),0.0581
GRASIM.NS,Q3FY26,2025-12-31,2026-02-01,0.5309,0.1868,0.0,0.0,20,screener.in (BSE transcript),0.3933
HINDALCO.NS,Q3FY26,2025-12-31,2026-02-01,0.503,-0.2545,0.0,0.0,25,screener.in (BSE transcript),0.2
DRREDDY.NS,Q3FY26,2025-12-31,2026-01-01,0.062,0.0132,0.0,0.0,21,screener.in (BSE transcript),0.0425
CIPLA.NS,Q3FY26,2025-12-31,2026-01-01,0.3464,0.0325,0.0,0.0,20,screener.in (BSE transcript),0.2209
BRITANNIA.NS,Q3FY26,2025-12-31,2026-02-01,0.1485,0.0,0.0,0.0,22,screener.in (BSE transcript),0.0891
EICHERMOT.NS,Q3FY26,2025-12-31,2026-02-01,0.4673,0.0776,0.0,0.0,22,screener.in (BSE transcript),0.3114
HEROMOTOCO.NS,Q3FY26,2025-12-31,2026-02-01,0.4487,-0.0085,0.0,0.0,21,screener.in (BSE transcript),0.2658
BAJAJ-AUTO.NS,Q3FY26,2025-12-31,2026-02-01,0.6035,-0.0104,0.0,0.0,24,screener.in (BSE transcript),0.3579
DIVISLAB.NS,Q3FY26,2025-12-31,2026-02-01,0.3735,0.1278,0.0,0.0,19,screener.in (BSE transcript),0.2752
TECHM.NS,Q3FY26,2025-12-31,2026-01-01,0.3919,0.3507,0.0,0.0,22,screener.in (BSE transcript),0.3754
INDUSINDBK.NS,Q3FY26,2025-12-31,2026-01-01,0.5166,-0.0277,0.0,0.0,19,screener.in (BSE transcript),0.2989
APOLLOHOSP.NS,Q3FY26,2025-12-31,2026-02-01,0.2743,-0.1278,0.0,0.0,21,screener.in (BSE transcript),0.1135
TATACONSUM.NS,Q3FY26,2025-12-31,2026-01-01,0.3359,-0.0811,0.0,0.0,20,screener.in (BSE transcript),0.1691
SBILIFE.NS,Q3FY26,2025-12-31,2026-02-01,0.4838,-0.0221,0.0,0.0,21,screener.in (BSE transcript),0.2814
HDFCLIFE.NS,Q3FY26,2025-12-31,2026-01-01,0.3717,-0.0978,0.0,0.0,22,screener.in (BSE transcript),0.1839
SHRIRAMFIN.NS,Q3FY26,2025-12-31,2026-01-01,0.1639,0.1026,0.0,0.0,16,screener.in (BSE transcript),0.1394
ICICIBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.2412,-0.1041,0.0,0.0,32,screener.in (BSE transcript),0.1031
HINDUNILVR.NS,Q4FY26,2026-03-31,2026-05-01,0.5712,0.0508,0.0,0.0,28,screener.in (BSE transcript),0.363
SBIN.NS,Q4FY26,2026-03-31,2026-05-01,0.3229,-0.0398,0.0,0.0,30,screener.in (BSE transcript),0.1778
BHARTIARTL.NS,Q4FY26,2026-03-31,2026-05-01,0.4982,-0.1253,0.0,0.0,31,screener.in (BSE transcript),0.2488
KOTAKBANK.NS,Q4FY26,2026-03-31,2026-05-01,0.3597,0.0274,0.0,0.0,24,screener.in (BSE transcript),0.2268
LT.NS,Q4FY26,2026-03-31,2026-05-01,0.3166,-0.0125,0.0,0.0,33,screener.in (BSE transcript),0.185
AXISBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.3301,-0.2083,0.0,0.0,19,screener.in (BSE transcript),0.1147
BAJFINANCE.NS,Q4FY26,2026-03-31,2026-05-01,0.2943,0.0507,0.0,0.0,20,screener.in (BSE transcript),0.1969
MARUTI.NS,Q4FY26,2026-03-31,2026-04-01,0.3755,0.0952,0.0,0.0,13,screener.in (BSE transcript),0.2634
SUNPHARMA.NS,Q4FY26,2026-03-31,2026-05-01,0.2443,0.1368,0.0,0.0,17,screener.in (BSE transcript),0.2013
WIPRO.NS,Q4FY26,2026-03-31,2026-04-01,0.0712,-0.3402,0.0,0.0,14,screener.in (BSE transcript),-0.0934
NTPC.NS,Q4FY26,2026-03-31,2026-05-01,0.3852,-0.123,0.0,0.0,17,screener.in (BSE transcript),0.1819
POWERGRID.NS,Q4FY26,2026-03-31,2026-05-01,0.2231,0.2146,0.0,0.0,27,screener.in (BSE transcript),0.2197
M&M.NS,Q4FY26,2026-03-31,2026-05-01,0.3824,0.1494,0.0,0.0,39,screener.in (BSE transcript),0.2892
TATASTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.4384,-0.2343,0.0,0.0,34,screener.in (BSE transcript),0.1693
JSWSTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.3482,-0.1463,0.0,0.0,25,screener.in (BSE transcript),0.1504
ADANIENT.NS,Q4FY26,2026-03-31,2026-04-01,0.0904,-0.4711,0.0,0.0,12,screener.in (BSE transcript),-0.1342
ADANIPORTS.NS,Q4FY26,2026-03-31,2026-05-01,0.2505,-0.1085,0.0,0.0,31,screener.in (BSE transcript),0.1069
BAJAJFINSV.NS,Q4FY26,2026-03-31,2026-05-01,0.2478,-0.3137,0.0,0.0,25,screener.in (BSE transcript),0.0232
GRASIM.NS,Q4FY26,2026-03-31,2026-05-01,0.5402,0.1565,0.0,0.0,21,screener.in (BSE transcript),0.3867
HINDALCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4895,-0.2381,0.0,0.0,20,screener.in (BSE transcript),0.1985
DRREDDY.NS,Q4FY26,2026-03-31,2026-05-01,-0.0808,-0.0821,0.0,0.0,19,screener.in (BSE transcript),-0.0813
CIPLA.NS,Q4FY26,2026-03-31,2026-05-01,0.4782,0.2155,0.0,0.0,20,screener.in (BSE transcript),0.3731
BRITANNIA.NS,Q4FY26,2026-03-31,2026-05-01,0.1283,-0.1542,0.0,0.0,22,screener.in (BSE transcript),0.0153
EICHERMOT.NS,Q4FY26,2026-03-31,2026-05-01,0.4977,0.0933,0.0,0.0,22,screener.in (BSE transcript),0.336
HEROMOTOCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4371,-0.1,0.0,0.0,21,screener.in (BSE transcript),0.2223
BAJAJ-AUTO.NS,Q4FY26,2026-03-31,2026-05-01,0.6557,0.053,0.0,0.0,27,screener.in (BSE transcript),0.4146
DIVISLAB.NS,Q4FY26,2026-03-31,2026-05-01,0.3103,-0.1439,0.0,0.0,19,screener.in (BSE transcript),0.1286
TECHM.NS,Q4FY26,2026-03-31,2026-04-01,0.4538,0.3605,0.0,0.0,40,screener.in (BSE transcript),0.4165
INDUSINDBK.NS,Q4FY26,2026-03-31,2026-04-01,0.3572,-0.0984,0.0,0.0,19,screener.in (BSE transcript),0.175
TATACONSUM.NS,Q4FY26,2026-03-31,2026-05-01,0.4239,-0.117,0.0,0.0,20,screener.in (BSE transcript),0.2076
SBILIFE.NS,Q4FY26,2026-03-31,2026-04-01,0.4516,-0.0119,0.0,0.0,25,screener.in (BSE transcript),0.2662
SHRIRAMFIN.NS,Q4FY26,2026-03-31,2026-05-01,0.2059,-0.3508,0.0,0.0,18,screener.in (BSE transcript),-0.0168
BPCL.NS,Q4FY26,2026-03-31,2026-05-01,0.351,-0.2431,0.0,0.0,22,screener.in (BSE transcript),0.1133
